load_factor,pbo_db,affected_sinr_p5_db,affected_delta_db,affected_delta_ci95_lower_db,affected_delta_ci95_upper_db,unaffected_sinr_p5_db,unaffected_delta_db,unaffected_delta_ci95_lower_db,unaffected_delta_ci95_upper_db
0.2,5.0,-0.7547012463465655,-4.9435983325270545,-4.950316580456339,-4.92923986800285,4.262829398180093,0.06205253401149324,0.056014686012990714,0.06863602469358679
0.2,10.0,-5.735395084248746,-9.924292170429236,-9.934192260302073,-9.908541900744469,4.283170956269757,0.08239409210115678,0.0739305569130255,0.09202074649110976
0.2,15.0,-10.728453559927255,-14.917350646107744,-14.928213231378578,-14.90147725315659,4.289849216867762,0.08907235269916214,0.07950045846290558,0.09978173526968978
0.2,20.0,-15.726520703627141,-19.91541778980763,-19.92663243533714,-19.899203777484004,4.292336039878359,0.09155917570975891,0.08148923668280772,0.10235299543464588
0.5,5.0,-1.9930715488195176,-4.863625736366004,-4.875212590807189,-4.846582780368001,3.0211604210636516,0.14052787196418004,0.12981867246389373,0.15154251503240485
0.5,10.0,-6.94330264704549,-9.813856834591977,-9.832369450661869,-9.79698381010732,3.0681885938336966,0.18755604473422505,0.17300555943146992,0.20390038941428565
0.5,15.0,-11.925337982277048,-14.795892169823535,-14.816358591503331,-14.778644246819928,3.084438779432703,0.2038062303332313,0.18710076776349502,0.22184055236004357
0.5,20.0,-16.91988613123602,-19.790440318782505,-19.81168411269808,-19.773366858911064,3.0897132136445142,0.2090806645450427,0.19195713833701758,0.22807642902065697
