scenario_id,load_factor,pbo_db,affected_fraction,is_baseline,outage_probability_m6,outage_m6_ci95_lower,outage_m6_ci95_upper,spectral_efficiency_p5_retention_percent,retention_se_p5_ci95_lower_percent,retention_se_p5_ci95_upper_percent
LF20_PBO00_F00,0.2,0.0,0.0,True,0.0009048984442288194,0.0005974893209278416,0.0012779589666500825,100.0,100.0,100.0
LF20_PBO05_F05,0.2,5.0,0.05,False,0.0009485080078061119,0.000626918310386524,0.0013449934677792958,94.85475643197627,94.2753292009559,95.32594326405085
LF20_PBO10_F05,0.2,10.0,0.05,False,0.0023258433907889335,0.0018952944072616177,0.0028116394346702307,83.91724002540816,81.2533900439031,86.05122288875357
LF20_PBO15_F05,0.2,15.0,0.05,False,0.031624201854133276,0.031092680294344924,0.03222645539821489,48.47342188815506,45.460287840601445,51.74735047466126
LF20_PBO20_F05,0.2,20.0,0.05,False,0.0469093538879743,0.04654179541554455,0.04733124396298632,23.98407463518832,22.645594398400537,25.33529392327623
LF20_PBO05_F10,0.2,5.0,0.1,False,0.0010502636561531278,0.0006860308449279593,0.0014864430348914515,74.46921854645056,73.03162174551278,75.62106324774601
LF20_PBO10_F10,0.2,10.0,0.1,False,0.003525106389164477,0.0029762826596068585,0.004138761497486361,33.739396041717136,33.17516032152253,34.22935698522854
LF20_PBO15_F10,0.2,15.0,0.1,False,0.06255065069102987,0.06185829805210831,0.06331066658495527,12.706625654801385,12.52666934656076,12.888596412927871
LF20_PBO20_F10,0.2,20.0,0.1,False,0.09276117585919925,0.09230204651588854,0.09324446361596488,0.0,0.0,0.0
LF20_PBO05_F15,0.2,5.0,0.15,False,0.0011047756106247434,0.0007324805072104309,0.001541997412340131,62.08310344966299,61.46253042934687,62.63268480359434
LF20_PBO10_F15,0.2,10.0,0.15,False,0.004448175484883835,0.003811808282914144,0.005149013751430081,26.18460381167641,25.948154720971015,26.407840410927125
LF20_PBO15_F15,0.2,15.0,0.15,False,0.0931609301919911,0.09230592057244276,0.09408347751302547,9.395709559451197,9.316429589865871,9.469554582368506
LF20_PBO20_F15,0.2,20.0,0.15,False,0.13820597523703615,0.13766308500661595,0.13879067998849823,0.0,0.0,0.0
LF50_PBO00_F00,0.5,0.0,0.0,True,0.0023015894898917267,0.0018481651167813798,0.002805516791019945,100.0,100.0,100.0
LF50_PBO05_F05,0.5,5.0,0.05,False,0.00247283006984584,0.001991982475905224,0.0030081731827037565,91.3417556792654,90.43030661055876,92.06311632465842
LF50_PBO10_F05,0.5,10.0,0.05,False,0.011660322541790683,0.010999482266921948,0.012346922551542919,71.60801870873823,68.61814178660828,74.80232996334153
LF50_PBO15_F05,0.5,15.0,0.05,False,0.03633928273416061,0.03573945051564745,0.03695802053345271,40.430069102586735,38.72593565373471,42.44150203681932
LF50_PBO20_F05,0.5,20.0,0.05,False,0.04995726241457925,0.04949194672564727,0.0504623467778924,20.843832162300636,20.06379979574577,21.636618640213964
LF50_PBO05_F10,0.5,5.0,0.1,False,0.0026194003967557164,0.0021196663223356973,0.0031949064823049763,71.23242574123675,70.13711099466435,72.31133317938045
LF50_PBO10_F10,0.5,10.0,0.1,False,0.019641874997279016,0.018795093670827892,0.020550269403517812,32.258562995491744,31.83801378363208,32.68303257674732
LF50_PBO15_F10,0.5,15.0,0.1,False,0.06976167084367912,0.06908339783180284,0.07048024871478252,12.19591100123579,12.08219739693097,12.317836661959888
LF50_PBO20_F10,0.5,20.0,0.1,False,0.09732124587680256,0.09685152074061541,0.09784482029801592,0.0,0.0,0.0
LF50_PBO05_F15,0.5,5.0,0.15,False,0.00272098379164375,0.0021945950136429177,0.0033135975712102832,60.99423005553377,60.50428619845754,61.50924343849194
LF50_PBO10_F15,0.5,10.0,0.15,False,0.026331867146333784,0.0252376025541181,0.02746008060992247,25.545578845193507,25.37094899269151,25.721507783869974
LF50_PBO15_F15,0.5,15.0,0.15,False,0.1032203387370862,0.10251611260352313,0.10401362847654214,9.108351959224251,9.049180679759086,9.163228957591281
LF50_PBO20_F15,0.5,20.0,0.15,False,0.1445125375677162,0.14405245678100057,0.14503142673589145,0.0,0.0,0.0
