load_factor,requested_fraction,baseline_sinr_p5_db,pbo10_sinr_p5_db,pbo10_delta_sinr_p5_db,pbo10_delta_ci95_lower_db,pbo10_delta_ci95_upper_db,pbo20_sinr_p5_db,pbo20_delta_sinr_p5_db,pbo20_delta_ci95_lower_db,pbo20_delta_ci95_upper_db,pbo10_outage_probability,pbo20_outage_probability
0.2,0.05,4.1993071969677205,2.9006630929775556,-1.2986441039901648,-1.5242838124389104,-1.1203774644178366,-4.408891164362758,-8.608198361330478,-8.889028388243904,-8.333812569541497,0.00028346216325240124,0.03372836329673764
0.2,0.1,4.1993071969677205,-2.6367575809378727,-6.836064777905593,-6.924207414269115,-6.759918093958142,-12.453200611868434,-16.652507808836155,-16.71781880716483,-16.585298385628978,0.0004942417205426483,0.06743128768138854
0.2,0.15,4.1993071969677205,-3.9627437497754894,-8.16205094674321,-8.209624001470111,-8.116954627441546,-13.889946977499866,-18.089254174467587,-18.132155483801032,-18.048148581395832,0.0006250704112745259,0.1008870912057681
0.5,0.05,2.8795090695159304,0.6630146119131469,-2.2164944576027836,-2.4754611465778464,-1.9461885836402288,-5.98412080235372,-8.863629871869652,-9.03822523429881,-8.691088244225456,0.0007604242703047067,0.03754667394197266
0.5,0.1,2.8795090695159304,-3.807343863010712,-6.686852932526643,-6.747952379701601,-6.623618736387244,-13.44743162018047,-16.3269406896964,-16.375801594663464,-16.275442234172168,0.0011565995103680366,0.07402527104626543
0.5,0.15,2.8795090695159304,-4.986026169783921,-7.865535239299851,-7.901492103285646,-7.829434059345241,-14.842595900622408,-17.72210497013834,-17.762805755089257,-17.68189539160886,0.0014700568431653966,0.11034713948415951
