mechanism,altitude,LF,FS height,distance,INR20 point estimate,INR20 CI lower,INR20 CI upper,margin point estimate,margin CI lower,margin CI upper,classification
power back-off,525,20,20,60,-11.982137,-12.112276,-11.824044,5.982137,5.824044,6.112276,supported compliant
power back-off,525,20,20,70,-12.191872,-12.323209,-12.052591,6.191872,6.052591,6.323209,supported compliant
power back-off,525,20,20,80,-12.338852,-12.503350,-12.188052,6.338852,6.188052,6.503350,supported compliant
power back-off,525,20,20,90,-12.556965,-12.695666,-12.339245,6.556965,6.339245,6.695666,supported compliant
power back-off,525,20,20,100,-12.693327,-12.885508,-12.494821,6.693327,6.494821,6.885508,supported compliant
power back-off,525,50,20,0,1.640894,1.293820,2.035947,-7.640894,-8.035947,-7.293820,supported non-compliant
power back-off,525,50,20,10,-2.529862,-2.736881,-2.276472,-3.470138,-3.723528,-3.263119,supported non-compliant
power back-off,525,50,20,20,-4.246658,-4.384559,-4.102450,-1.753342,-1.897550,-1.615441,supported non-compliant
power back-off,525,50,20,30,-5.319663,-5.540537,-5.128410,-0.680337,-0.871590,-0.459463,supported non-compliant
power back-off,525,50,20,40,-5.771911,-5.996025,-5.605270,-0.228089,-0.394730,-0.003975,supported non-compliant
power back-off,525,50,20,50,-5.990259,-6.214765,-5.773743,-0.009741,-0.226257,0.214765,borderline
power back-off,525,50,20,60,-6.164240,-6.331264,-5.925138,0.164240,-0.074862,0.331264,borderline
power back-off,525,50,20,70,-6.241124,-6.467139,-6.018811,0.241124,0.018811,0.467139,supported compliant
power back-off,525,50,20,80,-6.305736,-6.565853,-6.095668,0.305736,0.095668,0.565853,supported compliant
power back-off,525,50,20,90,-6.386609,-6.616310,-6.175917,0.386609,0.175917,0.616310,supported compliant
power back-off,525,50,20,100,-6.458442,-6.684586,-6.237160,0.458442,0.237160,0.684586,supported compliant
power back-off,525,20,40,0,-8.500154,-9.207780,-7.707916,2.500154,1.707916,3.207780,supported compliant
power back-off,525,20,40,10,-9.495429,-9.871772,-9.003026,3.495429,3.003026,3.871772,supported compliant
power back-off,525,20,40,20,-10.313407,-10.527461,-10.053592,4.313407,4.053592,4.527461,supported compliant
power back-off,525,20,40,30,-10.887714,-11.032751,-10.683239,4.887714,4.683239,5.032751,supported compliant
power back-off,525,20,40,40,-11.337243,-11.505456,-11.183587,5.337243,5.183587,5.505456,supported compliant
power back-off,525,20,40,50,-11.781816,-11.918295,-11.601982,5.781816,5.601982,5.918295,supported compliant
