mechanism,altitude,LF,FS height,distance,INR20 point estimate,INR20 CI lower,INR20 CI upper,margin point estimate,margin CI lower,margin CI upper,classification
exclusion zone,525,20,20,100,-9.881052,-9.930870,-9.833674,3.881052,3.833674,3.930870,supported compliant
exclusion zone,525,50,20,0,6.356792,6.311467,6.404134,-12.356792,-12.404134,-12.311467,supported non-compliant
exclusion zone,525,50,20,10,6.191631,6.128445,6.245927,-12.191631,-12.245927,-12.128445,supported non-compliant
exclusion zone,525,50,20,20,5.329281,5.219021,5.440075,-11.329281,-11.440075,-11.219021,supported non-compliant
exclusion zone,525,50,20,30,2.971893,2.872222,3.081640,-8.971893,-9.081640,-8.872222,supported non-compliant
exclusion zone,525,50,20,40,0.740603,0.650887,0.841290,-6.740603,-6.841290,-6.650887,supported non-compliant
exclusion zone,525,50,20,50,-2.227403,-2.348218,-2.119491,-3.772597,-3.880509,-3.651782,supported non-compliant
exclusion zone,525,50,20,60,-4.732184,-4.776994,-4.676311,-1.267816,-1.323689,-1.223006,supported non-compliant
exclusion zone,525,50,20,70,-5.205350,-5.243716,-5.171667,-0.794650,-0.828333,-0.756284,supported non-compliant
exclusion zone,525,50,20,80,-5.384421,-5.419016,-5.356590,-0.615579,-0.643410,-0.580984,supported non-compliant
exclusion zone,525,50,20,90,-5.742164,-5.773404,-5.712260,-0.257836,-0.287740,-0.226596,supported non-compliant
exclusion zone,525,50,20,100,-6.144842,-6.176467,-6.120990,0.144842,0.120990,0.176467,supported compliant
exclusion zone,525,20,40,0,3.037913,2.696719,3.338181,-9.037913,-9.338181,-8.696719,supported non-compliant
exclusion zone,525,20,40,10,2.509827,2.170339,2.840748,-8.509827,-8.840748,-8.170339,supported non-compliant
exclusion zone,525,20,40,20,1.028887,0.769209,1.315851,-7.028887,-7.315851,-6.769209,supported non-compliant
exclusion zone,525,20,40,30,-0.785194,-1.132060,-0.495010,-5.214806,-5.504990,-4.867940,supported non-compliant
exclusion zone,525,20,40,40,-3.014226,-3.270468,-2.725822,-2.985774,-3.274178,-2.729532,supported non-compliant
exclusion zone,525,20,40,50,-6.798576,-7.067983,-6.486712,0.798576,0.486712,1.067983,supported compliant
exclusion zone,525,20,40,60,-8.575137,-8.640150,-8.509654,2.575137,2.509654,2.640150,supported compliant
exclusion zone,525,20,40,70,-8.994441,-9.062871,-8.939480,2.994441,2.939480,3.062871,supported compliant
exclusion zone,525,20,40,80,-9.197206,-9.261917,-9.149260,3.197206,3.149260,3.261917,supported compliant
exclusion zone,525,20,40,90,-9.552748,-9.595184,-9.498196,3.552748,3.498196,3.595184,supported compliant
exclusion zone,525,20,40,100,-9.982667,-10.031449,-9.941198,3.982667,3.941198,4.031449,supported compliant
exclusion zone,525,50,40,0,6.277771,6.235460,6.317715,-12.277771,-12.317715,-12.235460,supported non-compliant
exclusion zone,525,50,40,10,6.099738,6.041211,6.164922,-12.099738,-12.164922,-12.041211,supported non-compliant
exclusion zone,525,50,40,20,5.237032,5.106587,5.347605,-11.237032,-11.347605,-11.106587,supported non-compliant
exclusion zone,525,50,40,30,2.891160,2.762231,2.983702,-8.891160,-8.983702,-8.762231,supported non-compliant
exclusion zone,525,50,40,40,0.654771,0.538095,0.728698,-6.654771,-6.728698,-6.538095,supported non-compliant
exclusion zone,525,50,40,50,-2.310465,-2.443757,-2.202392,-3.689535,-3.797608,-3.556243,supported non-compliant
exclusion zone,525,50,40,60,-4.822329,-4.870162,-4.776150,-1.177671,-1.223850,-1.129838,supported non-compliant
exclusion zone,525,50,40,70,-5.315145,-5.346574,-5.280102,-0.684855,-0.719898,-0.653426,supported non-compliant
exclusion zone,525,50,40,80,-5.487484,-5.518849,-5.452508,-0.512516,-0.547492,-0.481151,supported non-compliant
exclusion zone,525,50,40,90,-5.841247,-5.870805,-5.804703,-0.158753,-0.195297,-0.129195,supported non-compliant
exclusion zone,525,50,40,100,-6.238457,-6.266887,-6.218001,0.238457,0.218001,0.266887,supported compliant
