scenario,snapshots,avg_active_beams,max_active_beams,avg_active_satellites,avg_candidate_satellites
"Sys3 340 km, FS 20 m, LF 20%",4000,334.956,423,24.623,103.225
"Sys3 340 km, FS 20 m, LF 50%",1710,837.313,1009,24.615,103.086
"Sys3 525 km, FS 20 m, LF 20%",4000,211.458,279,23.192,65.830
"Sys3 525 km, FS 20 m, LF 50%",4000,529.309,646,23.192,65.830
