area,system,altitude_km,fs_height_m,load_factor_pct,mechanism,distance_type,distance_km,azimuth_deg,samples,bootstrap_resamples,bootstrap_seed,inr_20_pct_db,inr_20_pct_ci95_low_db,inr_20_pct_ci95_high_db,inr_20_pct_ci95_half_width_db,protection_margin_db,protection_margin_ci95_low_db,protection_margin_ci95_high_db,classification
BR_AR_Paraguay,3,340,40,50,power back-off,M,10,90,4000,10000,20260727,-0.188333,-0.347355,-0.056899,0.145228,-5.811667,-5.943101,-5.652645,supported non-compliant
BR_AR_Paraguay,3,340,40,50,power back-off,M,20,90,4000,10000,20260727,-1.648347,-1.802196,-1.486236,0.157980,-4.351653,-4.513764,-4.197804,supported non-compliant
BR_AR_Paraguay,3,340,40,50,power back-off,M,30,90,4000,10000,20260727,-2.056302,-2.200112,-1.817525,0.191293,-3.943698,-4.182475,-3.799888,supported non-compliant
BR_AR_Paraguay,3,340,40,50,power back-off,M,40,90,4000,10000,20260727,-2.273652,-2.455222,-2.101445,0.176889,-3.726348,-3.898555,-3.544778,supported non-compliant
BR_AR_Paraguay,3,340,40,50,power back-off,M,50,90,4000,10000,20260727,-2.466937,-2.628419,-2.200706,0.213856,-3.533063,-3.799294,-3.371581,supported non-compliant
BR_AR_Paraguay,3,340,40,50,power back-off,M,60,90,4000,10000,20260727,-2.545039,-2.723592,-2.325580,0.199006,-3.454961,-3.674420,-3.276408,supported non-compliant
BR_AR_Paraguay,3,340,40,50,power back-off,M,70,90,4000,10000,20260727,-2.630184,-2.823260,-2.373383,0.224939,-3.369816,-3.626617,-3.176740,supported non-compliant
BR_AR_Paraguay,3,340,40,50,power back-off,M,80,90,4000,10000,20260727,-2.678349,-2.895765,-2.445483,0.225141,-3.321651,-3.554517,-3.104235,supported non-compliant
BR_AR_Paraguay,3,340,40,50,power back-off,M,90,90,4000,10000,20260727,-2.722458,-2.924361,-2.478557,0.222902,-3.277542,-3.521443,-3.075639,supported non-compliant
BR_AR_Paraguay,3,340,40,50,power back-off,M,100,90,4000,10000,20260727,-2.768614,-2.981404,-2.526871,0.227266,-3.231386,-3.473129,-3.018596,supported non-compliant
BR_AR_Paraguay,3,525,20,20,power back-off,M,0,90,4000,10000,20260727,-8.399056,-9.126892,-7.662977,0.731958,2.399056,1.662977,3.126892,supported compliant
BR_AR_Paraguay,3,525,20,20,power back-off,M,10,90,4000,10000,20260727,-9.429535,-9.789722,-8.896366,0.446678,3.429535,2.896366,3.789722,supported compliant
BR_AR_Paraguay,3,525,20,20,power back-off,M,20,90,4000,10000,20260727,-10.222218,-10.453745,-9.956885,0.248430,4.222218,3.956885,4.453745,supported compliant
BR_AR_Paraguay,3,525,20,20,power back-off,M,30,90,4000,10000,20260727,-10.790987,-10.950999,-10.564240,0.193380,4.790987,4.564240,4.950999,supported compliant
BR_AR_Paraguay,3,525,20,20,power back-off,M,40,90,4000,10000,20260727,-11.245787,-11.417272,-11.097898,0.159687,5.245787,5.097898,5.417272,supported compliant
BR_AR_Paraguay,3,525,20,20,power back-off,M,50,90,4000,10000,20260727,-11.677307,-11.820563,-11.489919,0.165322,5.677307,5.489919,5.820563,supported compliant
BR_AR_Paraguay,3,525,20,20,power back-off,M,60,90,4000,10000,20260727,-11.982137,-12.112276,-11.824044,0.144116,5.982137,5.824044,6.112276,supported compliant
BR_AR_Paraguay,3,525,20,20,power back-off,M,70,90,4000,10000,20260727,-12.191872,-12.323209,-12.052591,0.135309,6.191872,6.052591,6.323209,supported compliant
BR_AR_Paraguay,3,525,20,20,power back-off,M,80,90,4000,10000,20260727,-12.338852,-12.503350,-12.188052,0.157649,6.338852,6.188052,6.503350,supported compliant
BR_AR_Paraguay,3,525,20,20,power back-off,M,90,90,4000,10000,20260727,-12.556965,-12.695666,-12.339245,0.178211,6.556965,6.339245,6.695666,supported compliant
BR_AR_Paraguay,3,525,20,20,power back-off,M,100,90,4000,10000,20260727,-12.693327,-12.885508,-12.494821,0.195343,6.693327,6.494821,6.885508,supported compliant
BR_AR_Paraguay,3,525,20,50,power back-off,M,0,90,4000,10000,20260727,1.640894,1.293820,2.035947,0.371063,-7.640894,-8.035947,-7.293820,supported non-compliant
BR_AR_Paraguay,3,525,20,50,power back-off,M,10,90,4000,10000,20260727,-2.529862,-2.736881,-2.276472,0.230205,-3.470138,-3.723528,-3.263119,supported non-compliant
BR_AR_Paraguay,3,525,20,50,power back-off,M,20,90,4000,10000,20260727,-4.246658,-4.384559,-4.102450,0.141055,-1.753342,-1.897550,-1.615441,supported non-compliant
BR_AR_Paraguay,3,525,20,50,power back-off,M,30,90,4000,10000,20260727,-5.319663,-5.540537,-5.128410,0.206064,-0.680337,-0.871590,-0.459463,supported non-compliant
BR_AR_Paraguay,3,525,20,50,power back-off,M,40,90,4000,10000,20260727,-5.771911,-5.996025,-5.605270,0.195377,-0.228089,-0.394730,-0.003975,supported non-compliant
BR_AR_Paraguay,3,525,20,50,power back-off,M,50,90,4000,10000,20260727,-5.990259,-6.214765,-5.773743,0.220511,-0.009741,-0.226257,0.214765,borderline
BR_AR_Paraguay,3,525,20,50,power back-off,M,60,90,4000,10000,20260727,-6.164240,-6.331264,-5.925138,0.203063,0.164240,-0.074862,0.331264,borderline
BR_AR_Paraguay,3,525,20,50,power back-off,M,70,90,4000,10000,20260727,-6.241124,-6.467139,-6.018811,0.224164,0.241124,0.018811,0.467139,supported compliant
BR_AR_Paraguay,3,525,20,50,power back-off,M,80,90,4000,10000,20260727,-6.305736,-6.565853,-6.095668,0.235092,0.305736,0.095668,0.565853,supported compliant
BR_AR_Paraguay,3,525,20,50,power back-off,M,90,90,4000,10000,20260727,-6.386609,-6.616310,-6.175917,0.220196,0.386609,0.175917,0.616310,supported compliant
BR_AR_Paraguay,3,525,20,50,power back-off,M,100,90,4000,10000,20260727,-6.458442,-6.684586,-6.237160,0.223713,0.458442,0.237160,0.684586,supported compliant
BR_AR_Paraguay,3,525,40,20,power back-off,M,0,90,4000,10000,20260727,-8.500154,-9.207780,-7.707916,0.749932,2.500154,1.707916,3.207780,supported compliant
BR_AR_Paraguay,3,525,40,20,power back-off,M,10,90,4000,10000,20260727,-9.495429,-9.871772,-9.003026,0.434373,3.495429,3.003026,3.871772,supported compliant
BR_AR_Paraguay,3,525,40,20,power back-off,M,20,90,4000,10000,20260727,-10.313407,-10.527461,-10.053592,0.236935,4.313407,4.053592,4.527461,supported compliant
BR_AR_Paraguay,3,525,40,20,power back-off,M,30,90,4000,10000,20260727,-10.887714,-11.032751,-10.683239,0.174756,4.887714,4.683239,5.032751,supported compliant
BR_AR_Paraguay,3,525,40,20,power back-off,M,40,90,4000,10000,20260727,-11.337243,-11.505456,-11.183587,0.160934,5.337243,5.183587,5.505456,supported compliant
BR_AR_Paraguay,3,525,40,20,power back-off,M,50,90,4000,10000,20260727,-11.781816,-11.918295,-11.601982,0.158157,5.781816,5.601982,5.918295,supported compliant
BR_AR_Paraguay,3,525,40,20,power back-off,M,60,90,4000,10000,20260727,-12.075601,-12.227130,-11.912467,0.157332,6.075601,5.912467,6.227130,supported compliant
BR_AR_Paraguay,3,525,40,20,power back-off,M,70,90,4000,10000,20260727,-12.285639,-12.418294,-12.133588,0.142353,6.285639,6.133588,6.418294,supported compliant
BR_AR_Paraguay,3,525,40,20,power back-off,M,80,90,4000,10000,20260727,-12.438277,-12.595140,-12.276966,0.159087,6.438277,6.276966,6.595140,supported compliant
BR_AR_Paraguay,3,525,40,20,power back-off,M,90,90,4000,10000,20260727,-12.632721,-12.779784,-12.440839,0.169473,6.632721,6.440839,6.779784,supported compliant
BR_AR_Paraguay,3,525,40,20,power back-off,M,100,90,4000,10000,20260727,-12.759511,-12.970686,-12.600373,0.185157,6.759511,6.600373,6.970686,supported compliant
BR_AR_Paraguay,3,525,40,50,power back-off,M,0,90,4000,10000,20260727,1.573477,1.257596,1.859196,0.300800,-7.573477,-7.859196,-7.257596,supported non-compliant
BR_AR_Paraguay,3,525,40,50,power back-off,M,10,90,4000,10000,20260727,-2.671978,-2.867183,-2.414598,0.226292,-3.328022,-3.585402,-3.132817,supported non-compliant
BR_AR_Paraguay,3,525,40,50,power back-off,M,20,90,4000,10000,20260727,-4.327714,-4.467629,-4.203527,0.132051,-1.672286,-1.796473,-1.532371,supported non-compliant
BR_AR_Paraguay,3,525,40,50,power back-off,M,30,90,4000,10000,20260727,-5.410329,-5.619671,-5.228007,0.195832,-0.589671,-0.771993,-0.380329,supported non-compliant
BR_AR_Paraguay,3,525,40,50,power back-off,M,40,90,4000,10000,20260727,-5.882031,-6.067323,-5.699178,0.184073,-0.117969,-0.300822,0.067323,borderline
BR_AR_Paraguay,3,525,40,50,power back-off,M,50,90,4000,10000,20260727,-6.063255,-6.294424,-5.901715,0.196354,0.063255,-0.098285,0.294424,borderline
BR_AR_Paraguay,3,525,40,50,power back-off,M,60,90,4000,10000,20260727,-6.251982,-6.431245,-6.026469,0.202388,0.251982,0.026469,0.431245,supported compliant
BR_AR_Paraguay,3,525,40,50,power back-off,M,70,90,4000,10000,20260727,-6.325626,-6.537509,-6.099676,0.218916,0.325626,0.099676,0.537509,supported compliant
BR_AR_Paraguay,3,525,40,50,power back-off,M,80,90,4000,10000,20260727,-6.385000,-6.624365,-6.180646,0.221860,0.385000,0.180646,0.624365,supported compliant
BR_AR_Paraguay,3,525,40,50,power back-off,M,90,90,4000,10000,20260727,-6.492526,-6.688107,-6.278184,0.204962,0.492526,0.278184,0.688107,supported compliant
BR_AR_Paraguay,3,525,40,50,power back-off,M,100,90,4000,10000,20260727,-6.569459,-6.764313,-6.336908,0.213703,0.569459,0.336908,0.764313,supported compliant
SouthAmerica,3,340,20,20,exclusion zone,EZ,0,90,4000,10000,20260727,7.177080,6.902216,7.468242,0.283013,-13.177080,-13.468242,-12.902216,supported non-compliant
SouthAmerica,3,340,20,20,exclusion zone,EZ,10,90,4000,10000,20260727,5.992991,5.653633,6.244491,0.295429,-11.992991,-12.244491,-11.653633,supported non-compliant
SouthAmerica,3,340,20,20,exclusion zone,EZ,20,90,4000,10000,20260727,3.136157,2.811476,3.434883,0.311704,-9.136157,-9.434883,-8.811476,supported non-compliant
SouthAmerica,3,340,20,20,exclusion zone,EZ,30,90,4000,10000,20260727,-1.045453,-1.329611,-0.761246,0.284182,-4.954547,-5.238754,-4.670389,supported non-compliant
SouthAmerica,3,340,20,20,exclusion zone,EZ,40,90,4000,10000,20260727,-4.266819,-4.333709,-4.192166,0.070771,-1.733181,-1.807834,-1.666291,supported non-compliant
SouthAmerica,3,340,20,20,exclusion zone,EZ,50,90,4000,10000,20260727,-4.738166,-4.783302,-4.697640,0.042831,-1.261834,-1.302360,-1.216698,supported non-compliant
SouthAmerica,3,340,20,20,exclusion zone,EZ,60,90,4000,10000,20260727,-5.105786,-5.149291,-5.062941,0.043175,-0.894214,-0.937059,-0.850709,supported non-compliant
SouthAmerica,3,340,20,20,exclusion zone,EZ,70,90,4000,10000,20260727,-5.626303,-5.658005,-5.584133,0.036936,-0.373697,-0.415867,-0.341995,supported non-compliant
SouthAmerica,3,340,20,20,exclusion zone,EZ,80,90,4000,10000,20260727,-5.911607,-5.953140,-5.883087,0.035026,-0.088393,-0.116913,-0.046860,supported non-compliant
SouthAmerica,3,340,20,20,exclusion zone,EZ,90,90,4000,10000,20260727,-6.117296,-6.154215,-6.075526,0.039345,0.117296,0.075526,0.154215,supported compliant
SouthAmerica,3,340,20,20,exclusion zone,EZ,100,90,4000,10000,20260727,-6.520737,-6.569338,-6.480229,0.044555,0.520737,0.480229,0.569338,supported compliant
SouthAmerica,3,340,20,50,exclusion zone,EZ,0,90,4000,10000,20260727,10.160539,10.119548,10.203578,0.042015,-16.160539,-16.203578,-16.119548,supported non-compliant
SouthAmerica,3,340,20,50,exclusion zone,EZ,10,90,4000,10000,20260727,9.685298,9.603724,9.799238,0.097757,-15.685298,-15.799238,-15.603724,supported non-compliant
SouthAmerica,3,340,20,50,exclusion zone,EZ,20,90,4000,10000,20260727,6.812203,6.692292,6.923848,0.115778,-12.812203,-12.923848,-12.692292,supported non-compliant
SouthAmerica,3,340,20,50,exclusion zone,EZ,30,90,4000,10000,20260727,3.134348,3.039832,3.283041,0.121605,-9.134348,-9.283041,-9.039832,supported non-compliant
SouthAmerica,3,340,20,50,exclusion zone,EZ,40,90,4000,10000,20260727,-0.502567,-0.555803,-0.455634,0.050084,-5.497433,-5.544366,-5.444197,supported non-compliant
SouthAmerica,3,340,20,50,exclusion zone,EZ,50,90,4000,10000,20260727,-1.025748,-1.055682,-0.993957,0.030863,-4.974252,-5.006043,-4.944318,supported non-compliant
SouthAmerica,3,340,20,50,exclusion zone,EZ,60,90,4000,10000,20260727,-1.361352,-1.390115,-1.336927,0.026594,-4.638648,-4.663073,-4.609885,supported non-compliant
SouthAmerica,3,340,20,50,exclusion zone,EZ,70,90,4000,10000,20260727,-1.873552,-1.899737,-1.839627,0.030055,-4.126448,-4.160373,-4.100263,supported non-compliant
SouthAmerica,3,340,20,50,exclusion zone,EZ,80,90,4000,10000,20260727,-2.152963,-2.168219,-2.128332,0.019943,-3.847037,-3.871668,-3.831781,supported non-compliant
SouthAmerica,3,340,20,50,exclusion zone,EZ,90,90,4000,10000,20260727,-2.339470,-2.363746,-2.309235,0.027256,-3.660530,-3.690765,-3.636254,supported non-compliant
SouthAmerica,3,340,20,50,exclusion zone,EZ,100,90,4000,10000,20260727,-2.678837,-2.703348,-2.651748,0.025800,-3.321163,-3.348252,-3.296652,supported non-compliant
SouthAmerica,3,340,40,20,exclusion zone,EZ,0,90,4000,10000,20260727,7.097524,6.847556,7.384621,0.268533,-13.097524,-13.384621,-12.847556,supported non-compliant
SouthAmerica,3,340,40,20,exclusion zone,EZ,10,90,4000,10000,20260727,5.886122,5.550561,6.189150,0.319295,-11.886122,-12.189150,-11.550561,supported non-compliant
SouthAmerica,3,340,40,20,exclusion zone,EZ,20,90,4000,10000,20260727,3.067700,2.745038,3.366383,0.310672,-9.067700,-9.366383,-8.745038,supported non-compliant
SouthAmerica,3,340,40,20,exclusion zone,EZ,30,90,4000,10000,20260727,-1.135602,-1.437458,-0.828766,0.304346,-4.864398,-5.171234,-4.562542,supported non-compliant
SouthAmerica,3,340,40,20,exclusion zone,EZ,40,90,4000,10000,20260727,-4.343606,-4.418433,-4.265730,0.076352,-1.656394,-1.734270,-1.581567,supported non-compliant
SouthAmerica,3,340,40,20,exclusion zone,EZ,50,90,4000,10000,20260727,-4.825920,-4.865792,-4.778149,0.043821,-1.174080,-1.221851,-1.134208,supported non-compliant
SouthAmerica,3,340,40,20,exclusion zone,EZ,60,90,4000,10000,20260727,-5.196805,-5.241226,-5.158037,0.041595,-0.803195,-0.841963,-0.758774,supported non-compliant
SouthAmerica,3,340,40,20,exclusion zone,EZ,70,90,4000,10000,20260727,-5.716639,-5.752768,-5.677416,0.037676,-0.283361,-0.322584,-0.247232,supported non-compliant
