yaml_path,load_factor,pbo_db,requested_fraction,configured_snapshots,nominal_tx_power_dbm,attenuation_factor,sinr_min_db,sinr_max_db,pbo_mode,scenario_id,output_path,metrics_csv_path,actual_snapshots,user_records,unique_ue_ids,metrics_csv_bytes,modified_ns,selected
C:\GitHub\SHARC\sharc\campaigns\03_DC_MSS_ISOLADO\output\output_dc_mss_isolado_Sys3_340km_LF20_PBO10dB_F10pct_2026-07-28_01\dc_mss_isolado_Sys3_340km_LF20_PBO10dB_F10pct.yaml,0.2,10.0,0.1,1000,42.8,0.8,-10.0,30.0,ACTIVE_FRACTION,LF20_PBO10_F10,C:\GitHub\SHARC\sharc\campaigns\03_DC_MSS_ISOLADO\output\output_dc_mss_isolado_Sys3_340km_LF20_PBO10dB_F10pct_2026-07-28_01,C:\GitHub\SHARC\sharc\campaigns\03_DC_MSS_ISOLADO\output\output_dc_mss_isolado_Sys3_340km_LF20_PBO10dB_F10pct_2026-07-28_01\imt_dl_selected_ue_metrics.csv,10,2727,1283,302382,1785212557996286600,False
C:\GitHub\SHARC\sharc\campaigns\03_DC_MSS_ISOLADO\output\output_dc_mss_isolado_Sys3_340km_LF20_PBO10dB_F10pct_2026-07-28_02\dc_mss_isolado_Sys3_340km_LF20_PBO10dB_F10pct.yaml,0.2,10.0,0.1,1000,42.8,0.8,-10.0,30.0,ACTIVE_FRACTION,LF20_PBO10_F10,C:\GitHub\SHARC\sharc\campaigns\03_DC_MSS_ISOLADO\output\output_dc_mss_isolado_Sys3_340km_LF20_PBO10dB_F10pct_2026-07-28_02,C:\GitHub\SHARC\sharc\campaigns\03_DC_MSS_ISOLADO\output\output_dc_mss_isolado_Sys3_340km_LF20_PBO10dB_F10pct_2026-07-28_02\imt_dl_selected_ue_metrics.csv,1000,275169,1567,30451827,1785219343310189400,True
C:\GitHub\SHARC\sharc\campaigns\03_DC_MSS_ISOLADO\output\output_dc_mss_isolado_Sys3_340km_LF20_PBO10dB_F15pct_2026-07-28_01\dc_mss_isolado_Sys3_340km_LF20_PBO10dB_F15pct.yaml,0.2,10.0,0.15,1000,42.8,0.8,-10.0,30.0,ACTIVE_FRACTION,LF20_PBO10_F15,C:\GitHub\SHARC\sharc\campaigns\03_DC_MSS_ISOLADO\output\output_dc_mss_isolado_Sys3_340km_LF20_PBO10dB_F15pct_2026-07-28_01,C:\GitHub\SHARC\sharc\campaigns\03_DC_MSS_ISOLADO\output\output_dc_mss_isolado_Sys3_340km_LF20_PBO10dB_F15pct_2026-07-28_01\imt_dl_selected_ue_metrics.csv,10,2727,1283,303984,1785212560078471300,False
C:\GitHub\SHARC\sharc\campaigns\03_DC_MSS_ISOLADO\output\output_dc_mss_isolado_Sys3_340km_LF20_PBO10dB_F15pct_2026-07-28_02\dc_mss_isolado_Sys3_340km_LF20_PBO10dB_F15pct.yaml,0.2,10.0,0.15,1000,42.8,0.8,-10.0,30.0,ACTIVE_FRACTION,LF20_PBO10_F15,C:\GitHub\SHARC\sharc\campaigns\03_DC_MSS_ISOLADO\output\output_dc_mss_isolado_Sys3_340km_LF20_PBO10dB_F15pct_2026-07-28_02,C:\GitHub\SHARC\sharc\campaigns\03_DC_MSS_ISOLADO\output\output_dc_mss_isolado_Sys3_340km_LF20_PBO10dB_F15pct_2026-07-28_02\imt_dl_selected_ue_metrics.csv,1000,275169,1567,30918174,1785219341233883000,True
C:\GitHub\SHARC\sharc\campaigns\03_DC_MSS_ISOLADO\output\output_dc_mss_isolado_Sys3_340km_LF20_PBO15dB_F05pct_2026-07-28_01\dc_mss_isolado_Sys3_340km_LF20_PBO15dB_F05pct.yaml,0.2,15.0,0.05,1000,42.8,0.8,-10.0,30.0,ACTIVE_FRACTION,LF20_PBO15_F05,C:\GitHub\SHARC\sharc\campaigns\03_DC_MSS_ISOLADO\output\output_dc_mss_isolado_Sys3_340km_LF20_PBO15dB_F05pct_2026-07-28_01,C:\GitHub\SHARC\sharc\campaigns\03_DC_MSS_ISOLADO\output\output_dc_mss_isolado_Sys3_340km_LF20_PBO15dB_F05pct_2026-07-28_01\imt_dl_selected_ue_metrics.csv,10,2727,1283,307392,1785212559381490200,False
C:\GitHub\SHARC\sharc\campaigns\03_DC_MSS_ISOLADO\output\output_dc_mss_isolado_Sys3_340km_LF20_PBO15dB_F05pct_2026-07-28_02\dc_mss_isolado_Sys3_340km_LF20_PBO15dB_F05pct.yaml,0.2,15.0,0.05,1000,42.8,0.8,-10.0,30.0,ACTIVE_FRACTION,LF20_PBO15_F05,C:\GitHub\SHARC\sharc\campaigns\03_DC_MSS_ISOLADO\output\output_dc_mss_isolado_Sys3_340km_LF20_PBO15dB_F05pct_2026-07-28_02,C:\GitHub\SHARC\sharc\campaigns\03_DC_MSS_ISOLADO\output\output_dc_mss_isolado_Sys3_340km_LF20_PBO15dB_F05pct_2026-07-28_02\imt_dl_selected_ue_metrics.csv,1000,275169,1567,31177023,1785219305968428200,True
C:\GitHub\SHARC\sharc\campaigns\03_DC_MSS_ISOLADO\output\output_dc_mss_isolado_Sys3_340km_LF20_PBO15dB_F10pct_2026-07-28_01\dc_mss_isolado_Sys3_340km_LF20_PBO15dB_F10pct.yaml,0.2,15.0,0.1,1000,42.8,0.8,-10.0,30.0,ACTIVE_FRACTION,LF20_PBO15_F10,C:\GitHub\SHARC\sharc\campaigns\03_DC_MSS_ISOLADO\output\output_dc_mss_isolado_Sys3_340km_LF20_PBO15dB_F10pct_2026-07-28_01,C:\GitHub\SHARC\sharc\campaigns\03_DC_MSS_ISOLADO\output\output_dc_mss_isolado_Sys3_340km_LF20_PBO15dB_F10pct_2026-07-28_01\imt_dl_selected_ue_metrics.csv,10,2727,1283,305385,1785212559628225000,False
C:\GitHub\SHARC\sharc\campaigns\03_DC_MSS_ISOLADO\output\output_dc_mss_isolado_Sys3_340km_LF20_PBO15dB_F10pct_2026-07-28_02\dc_mss_isolado_Sys3_340km_LF20_PBO15dB_F10pct.yaml,0.2,15.0,0.1,1000,42.8,0.8,-10.0,30.0,ACTIVE_FRACTION,LF20_PBO15_F10,C:\GitHub\SHARC\sharc\campaigns\03_DC_MSS_ISOLADO\output\output_dc_mss_isolado_Sys3_340km_LF20_PBO15dB_F10pct_2026-07-28_02,C:\GitHub\SHARC\sharc\campaigns\03_DC_MSS_ISOLADO\output\output_dc_mss_isolado_Sys3_340km_LF20_PBO15dB_F10pct_2026-07-28_02\imt_dl_selected_ue_metrics.csv,1000,275169,1567,30778039,1785219322495330500,True
C:\GitHub\SHARC\sharc\campaigns\03_DC_MSS_ISOLADO\output\output_dc_mss_isolado_Sys3_340km_LF20_PBO15dB_F15pct_2026-07-28_01\dc_mss_isolado_Sys3_340km_LF20_PBO15dB_F15pct.yaml,0.2,15.0,0.15,1000,42.8,0.8,-10.0,30.0,ACTIVE_FRACTION,LF20_PBO15_F15,C:\GitHub\SHARC\sharc\campaigns\03_DC_MSS_ISOLADO\output\output_dc_mss_isolado_Sys3_340km_LF20_PBO15dB_F15pct_2026-07-28_01,C:\GitHub\SHARC\sharc\campaigns\03_DC_MSS_ISOLADO\output\output_dc_mss_isolado_Sys3_340km_LF20_PBO15dB_F15pct_2026-07-28_01\imt_dl_selected_ue_metrics.csv,10,2727,1283,308776,1785212561362045900,False
C:\GitHub\SHARC\sharc\campaigns\03_DC_MSS_ISOLADO\output\output_dc_mss_isolado_Sys3_340km_LF20_PBO15dB_F15pct_2026-07-28_02\dc_mss_isolado_Sys3_340km_LF20_PBO15dB_F15pct.yaml,0.2,15.0,0.15,1000,42.8,0.8,-10.0,30.0,ACTIVE_FRACTION,LF20_PBO15_F15,C:\GitHub\SHARC\sharc\campaigns\03_DC_MSS_ISOLADO\output\output_dc_mss_isolado_Sys3_340km_LF20_PBO15dB_F15pct_2026-07-28_02,C:\GitHub\SHARC\sharc\campaigns\03_DC_MSS_ISOLADO\output\output_dc_mss_isolado_Sys3_340km_LF20_PBO15dB_F15pct_2026-07-28_02\imt_dl_selected_ue_metrics.csv,1000,275169,1567,31410222,1785219334540787100,True
C:\GitHub\SHARC\sharc\campaigns\03_DC_MSS_ISOLADO\output\output_dc_mss_isolado_Sys3_340km_LF20_PBO20dB_F05pct_2026-07-28_01\dc_mss_isolado_Sys3_340km_LF20_PBO20dB_F05pct.yaml,0.2,20.0,0.05,1000,42.8,0.8,-10.0,30.0,ACTIVE_FRACTION,LF20_PBO20_F05,C:\GitHub\SHARC\sharc\campaigns\03_DC_MSS_ISOLADO\output\output_dc_mss_isolado_Sys3_340km_LF20_PBO20dB_F05pct_2026-07-28_01,C:\GitHub\SHARC\sharc\campaigns\03_DC_MSS_ISOLADO\output\output_dc_mss_isolado_Sys3_340km_LF20_PBO20dB_F05pct_2026-07-28_01\imt_dl_selected_ue_metrics.csv,10,2727,1283,306558,1785212561347005700,False
C:\GitHub\SHARC\sharc\campaigns\03_DC_MSS_ISOLADO\output\output_dc_mss_isolado_Sys3_340km_LF20_PBO20dB_F05pct_2026-07-28_02\dc_mss_isolado_Sys3_340km_LF20_PBO20dB_F05pct.yaml,0.2,20.0,0.05,1000,42.8,0.8,-10.0,30.0,ACTIVE_FRACTION,LF20_PBO20_F05,C:\GitHub\SHARC\sharc\campaigns\03_DC_MSS_ISOLADO\output\output_dc_mss_isolado_Sys3_340km_LF20_PBO20dB_F05pct_2026-07-28_02,C:\GitHub\SHARC\sharc\campaigns\03_DC_MSS_ISOLADO\output\output_dc_mss_isolado_Sys3_340km_LF20_PBO20dB_F05pct_2026-07-28_02\imt_dl_selected_ue_metrics.csv,1000,275169,1567,31083071,1785219315023579700,True
C:\GitHub\SHARC\sharc\campaigns\03_DC_MSS_ISOLADO\output\output_dc_mss_isolado_Sys3_340km_LF20_PBO20dB_F10pct_2026-07-28_01\dc_mss_isolado_Sys3_340km_LF20_PBO20dB_F10pct.yaml,0.2,20.0,0.1,1000,42.8,0.8,-10.0,30.0,ACTIVE_FRACTION,LF20_PBO20_F10,C:\GitHub\SHARC\sharc\campaigns\03_DC_MSS_ISOLADO\output\output_dc_mss_isolado_Sys3_340km_LF20_PBO20dB_F10pct_2026-07-28_01,C:\GitHub\SHARC\sharc\campaigns\03_DC_MSS_ISOLADO\output\output_dc_mss_isolado_Sys3_340km_LF20_PBO20dB_F10pct_2026-07-28_01\imt_dl_selected_ue_metrics.csv,10,2727,1283,303587,1785212564236206400,False
C:\GitHub\SHARC\sharc\campaigns\03_DC_MSS_ISOLADO\output\output_dc_mss_isolado_Sys3_340km_LF20_PBO20dB_F10pct_2026-07-28_02\dc_mss_isolado_Sys3_340km_LF20_PBO20dB_F10pct.yaml,0.2,20.0,0.1,1000,42.8,0.8,-10.0,30.0,ACTIVE_FRACTION,LF20_PBO20_F10,C:\GitHub\SHARC\sharc\campaigns\03_DC_MSS_ISOLADO\output\output_dc_mss_isolado_Sys3_340km_LF20_PBO20dB_F10pct_2026-07-28_02,C:\GitHub\SHARC\sharc\campaigns\03_DC_MSS_ISOLADO\output\output_dc_mss_isolado_Sys3_340km_LF20_PBO20dB_F10pct_2026-07-28_02\imt_dl_selected_ue_metrics.csv,1000,275169,1567,30586622,1785219312507791500,True
C:\GitHub\SHARC\sharc\campaigns\03_DC_MSS_ISOLADO\output\output_dc_mss_isolado_Sys3_340km_LF20_PBO20dB_F15pct_2026-07-28_01\dc_mss_isolado_Sys3_340km_LF20_PBO20dB_F15pct.yaml,0.2,20.0,0.15,1000,42.8,0.8,-10.0,30.0,ACTIVE_FRACTION,LF20_PBO20_F15,C:\GitHub\SHARC\sharc\campaigns\03_DC_MSS_ISOLADO\output\output_dc_mss_isolado_Sys3_340km_LF20_PBO20dB_F15pct_2026-07-28_01,C:\GitHub\SHARC\sharc\campaigns\03_DC_MSS_ISOLADO\output\output_dc_mss_isolado_Sys3_340km_LF20_PBO20dB_F15pct_2026-07-28_01\imt_dl_selected_ue_metrics.csv,10,2727,1283,306057,1785212563473148100,False
C:\GitHub\SHARC\sharc\campaigns\03_DC_MSS_ISOLADO\output\output_dc_mss_isolado_Sys3_340km_LF20_PBO20dB_F15pct_2026-07-28_02\dc_mss_isolado_Sys3_340km_LF20_PBO20dB_F15pct.yaml,0.2,20.0,0.15,1000,42.8,0.8,-10.0,30.0,ACTIVE_FRACTION,LF20_PBO20_F15,C:\GitHub\SHARC\sharc\campaigns\03_DC_MSS_ISOLADO\output\output_dc_mss_isolado_Sys3_340km_LF20_PBO20dB_F15pct_2026-07-28_02,C:\GitHub\SHARC\sharc\campaigns\03_DC_MSS_ISOLADO\output\output_dc_mss_isolado_Sys3_340km_LF20_PBO20dB_F15pct_2026-07-28_02\imt_dl_selected_ue_metrics.csv,1000,275169,1567,31120378,1785219332974371300,True
C:\GitHub\SHARC\sharc\campaigns\03_DC_MSS_ISOLADO\output\output_dc_mss_isolado_Sys3_340km_LF50_PBO0dB_F00pct_2026-07-28_01\dc_mss_isolado_Sys3_340km_LF50_PBO0dB_F00pct.yaml,0.5,0.0,0.0,1000,42.8,0.8,-10.0,30.0,ACTIVE_FRACTION,LF50_PBO00_F00,C:\GitHub\SHARC\sharc\campaigns\03_DC_MSS_ISOLADO\output\output_dc_mss_isolado_Sys3_340km_LF50_PBO0dB_F00pct_2026-07-28_01,,0,0,0,0,1785212589172231800,False
C:\GitHub\SHARC\sharc\campaigns\03_DC_MSS_ISOLADO\output\output_dc_mss_isolado_Sys3_340km_LF50_PBO0dB_F00pct_2026-07-28_02\dc_mss_isolado_Sys3_340km_LF50_PBO0dB_F00pct.yaml,0.5,0.0,0.0,1000,42.8,0.8,-10.0,30.0,ACTIVE_FRACTION,LF50_PBO00_F00,C:\GitHub\SHARC\sharc\campaigns\03_DC_MSS_ISOLADO\output\output_dc_mss_isolado_Sys3_340km_LF50_PBO0dB_F00pct_2026-07-28_02,C:\GitHub\SHARC\sharc\campaigns\03_DC_MSS_ISOLADO\output\output_dc_mss_isolado_Sys3_340km_LF50_PBO0dB_F00pct_2026-07-28_02\imt_dl_selected_ue_metrics.csv,1000,689089,1576,66481256,1785247414049609700,True
C:\GitHub\SHARC\sharc\campaigns\03_DC_MSS_ISOLADO\output\output_dc_mss_isolado_Sys3_340km_LF50_PBO5dB_F05pct_2026-07-28_01\dc_mss_isolado_Sys3_340km_LF50_PBO5dB_F05pct.yaml,0.5,5.0,0.05,1000,42.8,0.8,-10.0,30.0,ACTIVE_FRACTION,LF50_PBO05_F05,C:\GitHub\SHARC\sharc\campaigns\03_DC_MSS_ISOLADO\output\output_dc_mss_isolado_Sys3_340km_LF50_PBO5dB_F05pct_2026-07-28_01,C:\GitHub\SHARC\sharc\campaigns\03_DC_MSS_ISOLADO\output\output_dc_mss_isolado_Sys3_340km_LF50_PBO5dB_F05pct_2026-07-28_01\imt_dl_selected_ue_metrics.csv,1000,689089,1576,77919681,1785247590929189200,True
C:\GitHub\SHARC\sharc\campaigns\03_DC_MSS_ISOLADO\output\output_dc_mss_isolado_Sys3_340km_LF50_PBO5dB_F10pct_2026-07-28_01\dc_mss_isolado_Sys3_340km_LF50_PBO5dB_F10pct.yaml,0.5,5.0,0.1,1000,42.8,0.8,-10.0,30.0,ACTIVE_FRACTION,LF50_PBO05_F10,C:\GitHub\SHARC\sharc\campaigns\03_DC_MSS_ISOLADO\output\output_dc_mss_isolado_Sys3_340km_LF50_PBO5dB_F10pct_2026-07-28_01,C:\GitHub\SHARC\sharc\campaigns\03_DC_MSS_ISOLADO\output\output_dc_mss_isolado_Sys3_340km_LF50_PBO5dB_F10pct_2026-07-28_01\imt_dl_selected_ue_metrics.csv,1000,689089,1576,76282802,1785253301057794800,True
