scenario_id,load_factor,pbo_db,affected_fraction,group,baseline_mask_paired,n_snapshots,n_users,realized_affected_fraction_mean,realized_affected_fraction_std,sinr_mean_db,sinr_p5_db,sinr_median_db,spectral_efficiency_mean_bpshz,spectral_efficiency_p5_bpshz,spectral_efficiency_median_bpshz,outage_probability
LF20_PBO00_F00,0.2,0.0,0.0,all,False,1000,275169,0.0,0.0,8.331133883991075,4.1993071969677205,7.478400725281077,2.4132939606667256,1.4879274475925661,2.177188270040038,0.0001308286907318775
LF20_PBO00_F00,0.2,0.0,0.05,affected,True,1000,13784,0.0,0.0,8.365140876510013,4.195345073051504,7.523913100097779,2.42094343657715,1.4871646741372433,2.1874576711112703,0.0
LF20_PBO00_F00,0.2,0.0,0.05,unaffected,True,1000,261385,0.0,0.0,8.329340543191565,4.199568785189785,7.475997936485129,2.4128905695924514,1.4879778143786895,2.176646557426626,0.00013772787267823326
LF20_PBO05_F05,0.2,5.0,0.05,affected,False,1000,13784,0.05009683792861342,0.001057436357128513,3.391863074762801,-0.7769894189086656,2.550195815524482,1.4128591539815512,0.7013675461129212,1.1879094071584446,0.0010882182240278583
LF20_PBO05_F05,0.2,5.0,0.05,all,False,1000,275169,0.05009683792861342,0.001057436357128513,8.108300364238412,3.796472266042824,7.337372919137138,2.3685984079626015,1.4113699562984499,2.1454708556561237,0.0001635358634148469
LF20_PBO05_F05,0.2,5.0,0.05,unaffected,False,1000,261385,0.05009683792861342,0.001057436357128513,8.357019195074654,4.229524656882981,7.500433038009476,2.4189988130236224,1.4937511074441243,2.1821576070580813,0.00011477322723186105
LF20_PBO10_F05,0.2,10.0,0.05,affected,False,1000,13784,0.05009683792861342,0.001057436357128513,-1.598429474040576,-5.770694903763708,-2.4357021904442746,0.6958171798760739,0.27113438925734273,0.5211472796051357,0.003482298316889147
LF20_PBO10_F05,0.2,10.0,0.05,all,False,1000,275169,0.05009683792861342,0.001057436357128513,7.867445444898589,2.9006630929775556,7.264046291266808,2.334693373891325,1.248627647600183,2.129042601960911,0.00028346216325240124
LF20_PBO10_F05,0.2,10.0,0.05,unaffected,False,1000,261385,0.05009683792861342,0.001057436357128513,8.366623362080745,4.239057450413216,7.508614369725123,2.4211186448835633,1.4955906235423948,2.184003857555792,0.00011477322723186105
LF20_PBO15_F05,0.2,15.0,0.05,affected,False,1000,13784,0.05009683792861342,0.001057436357128513,-6.594804907014199,-10.76850277702059,-7.432881950742555,0.2715064715362795,0.0,0.1916137836300626,0.18448926291352294
LF20_PBO15_F05,0.2,15.0,0.05,all,False,1000,275169,0.05009683792861342,0.001057436357128513,7.620372193244985,-0.6143673528292408,7.265703057971976,2.3141526788771603,0.7212493490612019,2.129413305889861,0.009350617257031133
LF20_PBO15_F05,0.2,15.0,0.05,unaffected,False,1000,261385,0.05009683792861342,0.001057436357128513,8.370002053986696,4.242192654588612,7.511744349342635,2.4218705483876017,1.4961958565897349,2.184710327036382,0.00011477322723186105
LF20_PBO20_F05,0.2,20.0,0.05,affected,False,1000,13784,0.05009683792861342,0.001057436357128513,-11.593492311384964,-15.767961622355452,-12.432137894340023,0.0698102140837815,0.0,0.0,0.6711404526987812
LF20_PBO20_F05,0.2,20.0,0.05,all,False,1000,275169,0.05009683792861342,0.001057436357128513,7.371087153521216,-4.408891164362758,7.266970686983626,2.304299685763282,0.3568656295480537,2.129696954792613,0.03372836329673764
LF20_PBO20_F05,0.2,20.0,0.05,unaffected,False,1000,261385,0.05009683792861342,0.001057436357128513,8.371174240937352,4.243526973922289,7.512784282641704,2.4221343085520046,1.4964534754873975,2.1849450679501765,0.00011477322723186105
LF20_PBO00_F00,0.2,0.0,0.1,affected,True,1000,27564,0.0,0.0,8.326890763900765,4.188897086180489,7.46863032660729,2.4125873729137224,1.4859237401433465,2.1749858014165473,7.255840951966333e-05
LF20_PBO00_F00,0.2,0.0,0.1,unaffected,True,1000,247605,0.0,0.0,8.331606238596878,4.2007768641686,7.479265070190252,2.413372619760136,1.488210431468691,2.177383149110032,0.00013731548232063164
LF20_PBO05_F10,0.2,5.0,0.1,affected,False,1000,27564,0.10017047442638648,0.0010481928325394132,3.382677529349166,-0.7547012463465655,2.523132554794003,1.4115088094592463,0.7040686823843874,1.183291975578399,0.0011609345523146133
LF20_PBO05_F10,0.2,5.0,0.1,all,False,1000,275169,0.10017047442638648,0.0010481928325394132,7.887177926624484,2.0731871319018844,7.199758597882379,2.3244079524016166,1.1080479427603316,2.1146754579259524,0.0002180478178864625
LF20_PBO05_F10,0.2,5.0,0.1,unaffected,False,1000,247605,0.10017047442638648,0.0010481928325394132,8.38863003361141,4.262829398180093,7.533160657902684,2.4260341391751603,1.5001826414470234,2.1895462700551427,0.00011308333838169666
