scenario_id,load_factor,pbo_db,affected_fraction,group,metric,estimate,ci95_lower,ci95_upper,repetitions,seed,analysis_type
LF20_PBO15_F05,0.2,15.0,0.05,affected,outage_probability,0.18448926291352294,0.17721688943879996,0.1928602319304637,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO15_F05,0.2,15.0,0.05,affected,sinr_mean_db,-14.959945783524212,-14.967361127021004,-14.948610727054078,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO15_F05,0.2,15.0,0.05,affected,sinr_p5_db,-14.963847850072094,-14.973380810785057,-14.942609728826755,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO15_F05,0.2,15.0,0.05,affected,spectral_efficiency_mean_bpshz,-2.1494369650408705,-2.159931444239692,-2.1382285769799334,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO15_F05,0.2,15.0,0.05,affected,spectral_efficiency_p5_bpshz,-1.4871646741372433,-1.4941597549361183,-1.4776173662342629,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO15_F05,0.2,15.0,0.05,all,outage_probability,0.009219788566299255,0.008855454602330608,0.009640249225221949,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO15_F05,0.2,15.0,0.05,all,sinr_mean_db,-0.7107616907460903,-0.7165262955172276,-0.7028802297753282,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO15_F05,0.2,15.0,0.05,all,sinr_p5_db,-4.8136745497969615,-5.187530855852217,-4.43068044892603,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO15_F05,0.2,15.0,0.05,all,spectral_efficiency_mean_bpshz,-0.09914128178956538,-0.10026596679583596,-0.09762170727873164,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO15_F05,0.2,15.0,0.05,all,spectral_efficiency_p5_bpshz,-0.7666780985313643,-0.8104551811188283,-0.7186673085106962,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO15_F05,0.2,15.0,0.05,unaffected,outage_probability,-2.295464544637221e-05,-5.359406604066077e-05,-3.8158716065927315e-06,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO15_F05,0.2,15.0,0.05,unaffected,sinr_mean_db,0.040661510795130695,0.03504060273851617,0.04838348074616849,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO15_F05,0.2,15.0,0.05,unaffected,sinr_p5_db,0.042623869398826564,0.036366067596361476,0.0497817942396647,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO15_F05,0.2,15.0,0.05,unaffected,spectral_efficiency_mean_bpshz,0.008979978795150334,0.007882201328365479,0.010440011378728785,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO15_F05,0.2,15.0,0.05,unaffected,spectral_efficiency_p5_bpshz,0.008218042211045384,0.007009171534283714,0.009598204000610054,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO20_F05,0.2,20.0,0.05,affected,outage_probability,0.6711404526987812,0.6628339216946165,0.6795933892309496,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO20_F05,0.2,20.0,0.05,affected,sinr_mean_db,-19.958633187894975,-19.96661552093866,-19.946460555372724,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO20_F05,0.2,20.0,0.05,affected,sinr_p5_db,-19.963306695406956,-19.97304747518965,-19.94199755107492,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO20_F05,0.2,20.0,0.05,affected,spectral_efficiency_mean_bpshz,-2.3511332224933685,-2.3637021647037995,-2.3374357436811417,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO20_F05,0.2,20.0,0.05,affected,spectral_efficiency_p5_bpshz,-1.4871646741372433,-1.4941597549361183,-1.4776173662342629,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO20_F05,0.2,20.0,0.05,all,outage_probability,0.03359753460600576,0.033181249315755834,0.0340191141099589,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO20_F05,0.2,20.0,0.05,all,sinr_mean_db,-0.960046730469859,-0.9661943271518408,-0.9516144006843492,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO20_F05,0.2,20.0,0.05,all,sinr_p5_db,-8.608198361330478,-8.889028388243904,-8.333812569541497,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO20_F05,0.2,20.0,0.05,all,spectral_efficiency_mean_bpshz,-0.1089942749034436,-0.11024258688968402,-0.10736439393444551,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO20_F05,0.2,20.0,0.05,all,spectral_efficiency_p5_bpshz,-1.1310618180445124,-1.1494977976663565,-1.1124259534484238,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO20_F05,0.2,20.0,0.05,unaffected,outage_probability,-2.295464544637221e-05,-5.359406604066077e-05,-3.8158716065927315e-06,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO20_F05,0.2,20.0,0.05,unaffected,sinr_mean_db,0.041833697745786935,0.03584586358942645,0.05004167068599953,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO20_F05,0.2,20.0,0.05,unaffected,sinr_p5_db,0.043958188732503345,0.037195413959931735,0.05136714586619761,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO20_F05,0.2,20.0,0.05,unaffected,spectral_efficiency_mean_bpshz,0.009243738959553216,0.008065990182909367,0.01082011013470493,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO20_F05,0.2,20.0,0.05,unaffected,spectral_efficiency_p5_bpshz,0.00847566110870801,0.0071788806813629594,0.009899594912273251,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO05_F10,0.2,5.0,0.1,affected,outage_probability,0.00108837614279495,0.0006547067521908374,0.0015981244263718905,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO05_F10,0.2,5.0,0.1,affected,sinr_mean_db,-4.944213234551599,-4.94904386730533,-4.938559959020524,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO05_F10,0.2,5.0,0.1,affected,sinr_p5_db,-4.9435983325270545,-4.950316580456339,-4.92923986800285,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO05_F10,0.2,5.0,0.1,affected,spectral_efficiency_mean_bpshz,-1.001078563454476,-1.003652625049,-0.9984458117728451,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO05_F10,0.2,5.0,0.1,affected,spectral_efficiency_p5_bpshz,-0.7818550577589591,-0.784319206466628,-0.7773285429301042,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO05_F10,0.2,5.0,0.1,all,outage_probability,8.721912715458499e-05,3.6250896272989596e-05,0.00014479655125784773,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO05_F10,0.2,5.0,0.1,all,sinr_mean_db,-0.4439559573665912,-0.4486681871996787,-0.43880803021288617,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO05_F10,0.2,5.0,0.1,all,sinr_p5_db,-2.126120065065836,-2.2533804208191888,-2.023322412690443,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO05_F10,0.2,5.0,0.1,all,spectral_efficiency_mean_bpshz,-0.08888600826510906,-0.08981832490100371,-0.08788032765858513,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO05_F10,0.2,5.0,0.1,all,spectral_efficiency_p5_bpshz,-0.37987950483223454,-0.4002386728819641,-0.3635692554625858,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO05_F10,0.2,5.0,0.1,unaffected,outage_probability,-2.4232143938934984e-05,-5.657839538434198e-05,-4.027840435621507e-06,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO05_F10,0.2,5.0,0.1,unaffected,sinr_mean_db,0.057023795014531586,0.052289612758273395,0.06217866923638801,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO05_F10,0.2,5.0,0.1,unaffected,sinr_p5_db,0.06205253401149324,0.056014686012990714,0.06863602469358679,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO05_F10,0.2,5.0,0.1,unaffected,spectral_efficiency_mean_bpshz,0.012661519415024358,0.011734796773486678,0.013654221737268112,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO05_F10,0.2,5.0,0.1,unaffected,spectral_efficiency_p5_bpshz,0.011972209978332371,0.010819449666684123,0.013227847655466751,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO10_F10,0.2,10.0,0.1,affected,outage_probability,0.0038455957045421566,0.0026433353625546514,0.005290109064654536,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO10_F10,0.2,10.0,0.1,affected,sinr_mean_db,-9.924927346326022,-9.932112710151134,-9.915996465323492,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO10_F10,0.2,10.0,0.1,affected,sinr_p5_db,-9.924292170429236,-9.934192260302073,-9.908541900744469,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO10_F10,0.2,10.0,0.1,affected,spectral_efficiency_mean_bpshz,-1.7164261915658172,-1.7219686811349555,-1.7105682092946874,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO10_F10,0.2,10.0,0.1,affected,spectral_efficiency_p5_bpshz,-1.2128189497798638,-1.2175217985302984,-1.205717873315985,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO10_F10,0.2,10.0,0.1,all,outage_probability,0.0003634130298107708,0.0002372235977055201,0.0005097723219466307,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO10_F10,0.2,10.0,0.1,all,sinr_mean_db,-0.9253094284093608,-0.9323720155355659,-0.9175270714263513,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO10_F10,0.2,10.0,0.1,all,sinr_p5_db,-6.836064777905593,-6.924207414269115,-6.759918093958142,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO10_F10,0.2,10.0,0.1,all,spectral_efficiency_mean_bpshz,-0.1566368187022289,-0.15803836199240834,-0.15509734671415146,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO10_F10,0.2,10.0,0.1,all,spectral_efficiency_p5_bpshz,-0.985909713235897,-0.9940692504523886,-0.9781984115731915,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO10_F10,0.2,10.0,0.1,unaffected,outage_probability,-2.4232143938934984e-05,-5.657839538434198e-05,-4.027840435621507e-06,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO10_F10,0.2,10.0,0.1,unaffected,sinr_mean_db,0.0765502605688706,0.06948681428403,0.08432228922869464,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO10_F10,0.2,10.0,0.1,unaffected,sinr_p5_db,0.08239409210115678,0.0739305569130255,0.09202074649110976,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO10_F10,0.2,10.0,0.1,unaffected,spectral_efficiency_mean_bpshz,0.017002785803383436,0.015623424564593447,0.018511069415993286,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO10_F10,0.2,10.0,0.1,unaffected,spectral_efficiency_p5_bpshz,0.015907025311622247,0.014271774498783673,0.017746174054571733,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO15_F10,0.2,15.0,0.1,affected,outage_probability,0.17892903787548978,0.17244714613734966,0.18556211256780886,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO15_F10,0.2,15.0,0.1,affected,sinr_mean_db,-14.918210612477708,-14.92666461226625,-14.907630750609343,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO15_F10,0.2,15.0,0.1,affected,sinr_p5_db,-14.917350646107744,-14.928213231378578,-14.90147725315659,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO15_F10,0.2,15.0,0.1,affected,spectral_efficiency_mean_bpshz,-2.1401001818202667,-2.1479615209021237,-2.131707455759725,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO15_F10,0.2,15.0,0.1,affected,spectral_efficiency_p5_bpshz,-1.4859237401433465,-1.492765689102651,-1.476985749198066,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO15_F10,0.2,15.0,0.1,all,outage_probability,0.017901725848478572,0.017248476718987306,0.018570250456553344,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO15_F10,0.2,15.0,0.1,all,sinr_mean_db,-1.4194609150413209,-1.4275633046865885,-1.4103742354987203,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO15_F10,0.2,15.0,0.1,all,sinr_p5_db,-11.695263088242292,-11.76354581039721,-11.629024603387093,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO15_F10,0.2,15.0,0.1,all,spectral_efficiency_mean_bpshz,-0.19772806745132065,-0.19938664085943608,-0.19593379853838286,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO15_F10,0.2,15.0,0.1,all,spectral_efficiency_p5_bpshz,-1.2988620768119377,-1.3049581219737374,-1.292419458003095,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO15_F10,0.2,15.0,0.1,unaffected,outage_probability,-2.4232143938934984e-05,-5.657839538434198e-05,-4.027840435621507e-06,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO15_F10,0.2,15.0,0.1,unaffected,sinr_mean_db,0.08325323313879096,0.07509826707736286,0.09211574892528257,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO15_F10,0.2,15.0,0.1,unaffected,sinr_p5_db,0.08907235269916214,0.07950045846290558,0.09978173526968978,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO15_F10,0.2,15.0,0.1,unaffected,spectral_efficiency_mean_bpshz,0.01850159253319328,0.016887812058931983,0.02029364781363132,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO15_F10,0.2,15.0,0.1,unaffected,spectral_efficiency_p5_bpshz,0.017199942657405654,0.01536760199344639,0.019256275018326777,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO20_F10,0.2,20.0,0.1,affected,outage_probability,0.6720722681758815,0.6662541763724443,0.6778148769973225,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO20_F10,0.2,20.0,0.1,affected,sinr_mean_db,-19.91590148558229,-19.924899213313132,-19.9045282280719,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO20_F10,0.2,20.0,0.1,affected,sinr_p5_db,-19.91541778980763,-19.92663243533714,-19.899203777484004,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO20_F10,0.2,20.0,0.1,affected,spectral_efficiency_mean_bpshz,-2.342568699658501,-2.352171655626623,-2.3324296252903145,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO20_F10,0.2,20.0,0.1,affected,spectral_efficiency_p5_bpshz,-1.4859237401433465,-1.492765689102651,-1.476985749198066,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO20_F10,0.2,20.0,0.1,all,outage_probability,0.06730045899065666,0.06670441050407441,0.06788351196034119,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO20_F10,0.2,20.0,0.1,all,sinr_mean_db,-1.9180403649909818,-1.9265968634969315,-1.9084873253602415,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO20_F10,0.2,20.0,0.1,all,sinr_p5_db,-16.652507808836155,-16.71781880716483,-16.585298385628978,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO20_F10,0.2,20.0,0.1,all,spectral_efficiency_mean_bpshz,-0.2175486900138548,-0.21932011033002463,-0.21561269206623065,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO20_F10,0.2,20.0,0.1,all,spectral_efficiency_p5_bpshz,-1.4879274475925661,-1.49422553168845,-1.4811807487466095,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO20_F10,0.2,20.0,0.1,unaffected,outage_probability,-2.4232143938934984e-05,-5.657839538434198e-05,-4.027840435621507e-06,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO20_F10,0.2,20.0,0.1,unaffected,sinr_mean_db,0.08552597627021363,0.07691638473011837,0.09498841399555284,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO20_F10,0.2,20.0,0.1,unaffected,sinr_p5_db,0.09155917570975891,0.08148923668280772,0.10235299543464588,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO20_F10,0.2,20.0,0.1,unaffected,spectral_efficiency_mean_bpshz,0.01901378467706305,0.017303665508539613,0.02092691380945931,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO20_F10,0.2,20.0,0.1,unaffected,spectral_efficiency_p5_bpshz,0.01768153176628484,0.015741293574521514,0.019743629102195584,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO05_F15,0.2,5.0,0.15,affected,outage_probability,0.0010654268971863044,0.0006772773450728074,0.001531986829862015,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO05_F15,0.2,5.0,0.15,affected,sinr_mean_db,-4.915517465255705,-4.921318858800778,-4.909170092988108,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO05_F15,0.2,5.0,0.15,affected,sinr_p5_db,-4.9151745360229455,-4.921992390267934,-4.902217517509704,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO05_F15,0.2,5.0,0.15,affected,spectral_efficiency_mean_bpshz,-0.9959132829680306,-0.9982239141371648,-0.993434802721625,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO05_F15,0.2,5.0,0.15,affected,spectral_efficiency_p5_bpshz,-0.7788990167679661,-0.7811588719100319,-0.7750017508047161,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO05_F15,0.2,5.0,0.15,all,outage_probability,0.00013446282102998522,6.902276799959842e-05,0.0002073672246237967,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO05_F15,0.2,5.0,0.15,all,sinr_mean_db,-0.6645819453862236,-0.6703259107406006,-0.6584802613877465,2000,838,paired_delta_pbo_minus_baseline
LF20_PBO05_F15,0.2,5.0,0.15,all,sinr_p5_db,-3.31311362470806,-3.373921075076717,-3.258360126107121,2000,838,paired_delta_pbo_minus_baseline
